Nº;Proyecto;Emplazamiento;Provincia/Estado;País;Promotor;EPC;Responsable;Potencia AC (MW);Potencia DC (MWp);Modulista;Módulo;Potencia módulo (W);Cantidad módulos;String;Pitch;Tecnología;Inversor (tipo);Inversor (fabricante);Inversor (modelo);Total trackers;Trackers bifila;Trackers monofila;Concentradores;NCUs ethernet;NCUs FO;Total anemómetros;Anemómetros veleta;Anemómetros US;Sensor nieve;Alimentación RSUs;Alimentación TCUs;Panel FV;Panel FV (modelo);Batería TCU;Repetidores;Sistema control;Comunicaciones;Cold commissioning;Site;Escaneo;Offset;Hot commissioning;Estado PEM;Garantía;Inicio PEM;Final PEM;Duración PEM;Acceso remoto;lat;lng;Checklist PEM;Huecos
25200;Ercolino;Ercolino;Pescara;Italia;;Sun city;Factiun;;5.0198;TW solar;TWMNF-66HD705~725W(B33-29&20);720;6972;28;6;Bifacial;;;;128;121;7;2;0;2;2;0;2;1;Selfpowered;Agri Selfpowered;45W;;6Ah;0;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;42.502556;14.090556;;16
26009;Valle de Moinhos;Cartaxo;Santarem;Portugal;Green Venture;CJR;Factiun;;4.89048;Canadian Solar;TopBiHiKu7;710;6888;28;5;;;;;64;64;0;;;;;;;;Selfpowered;Selfpowered;45W;;6Ah;;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;39.210367;-8.774147;;24
26057;Minervino;;;Italia;;Grupo Zaragozá;Factiun;;2.387;Risen;RSM132-8-720BNDG;735;3248;28;6;;;;;39;38;1;1;1;0;1;0;1;1;AC;String;;;;;Sunner;Zigbee;No;No;No;No;No;Sin comenzar;No;;;;;;;0/5;18
26078;Monsano;;;Italia;;Sun city;Factiun;;5.806;Yingli;;720;8064;;5;;;;;87;87;0;1;0;1;1;0;1;0;Selfpowered;Selfpowered;;;6Ah;0;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;;;;24
26094;Conselice;;;Italia;;Igreen System;Factiun;;0.998;Jinko;TigerNeo 66HL5-BDV;720;1386;20;7;;;;;32;32;0;1;1;0;1;0;1;1;;String;;;6Ah;0;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;44.570162;11.877814;;21
26102;Jabalí;Cáceres;Cáceres;España;;SolarTree;Factiun;;6.3504;Jinko;;720;8820;28/21/14;6.25;Bifacial;;;;104;101;3;2;2;0;2;0;2;1;Selfpowered;Selfpowered;45W;;6Ah;0;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;39.463306;-6.297472;;17
26103;Piñuelas;Cáceres;Cáceres;España;;SolarTree;Factiun;;6.3504;Jinko;;720;8820;28/21/14;5,5/5,7/6;Bifacial;;;;93;91;2;1;1;0;2;0;2;1;Selfpowered;Selfpowered;45W;;6Ah;0;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;39.460833;-6.289833;;17
26126.1;Tolocha I;Híjar;Teruel;España;Bruc;Zelestra;Factiun;;48.524;Longi;;652;74424;;5;;;;;775;775;0;;;;;;;;Selfpowered;Selfpowered;45W;;6Ah;;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;41.041856;-0.454403;;26
26126.2;Sedeis VI;Híjar;Teruel;España;Bruc;Zelestra;Factiun;;44.965;Longi;;621;72408;28;5,5;;;;;754;754;0;;;;;;;;Selfpowered;Selfpowered;45W;;6Ah;;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;41.047686;-0.442306;;25
26126.3;Ilio III;Híjar;Teruel;España;Bruc;Zelestra;Factiun;;23.213;Longi;;621;37380;;5,5;;;;;567;567;0;;;;;;;;Selfpowered;Selfpowered;45W;;6Ah;;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;41.034787;-0.455362;;26
26246;Agraval;;;India;Cosmos;;Factiun;;1.498;Waaree;;615;2436;28;6;;;;;18;17;1;1;1;0;1;0;1;;;String;;;4,5Ah;0;KaiRi;Zigbee;;;;;;Sin comenzar;;;;;;21.521096;72.124651;;23
26322;Túnez;El Hamma;Gabes;Túnez;Bombeatec;;Factiun;;0.11928;Phono;;705;168;28;6;;;;;3;3;0;;;;;;;;Selfpowered;Selfpowered;45W;;6Ah;;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;33.87878;9.87395;;26
26361;SAP Belcastro;;;Italia;;Greenergy;Factiun;;2.243;DMEG;;725;3094;26;6,584;;;;;79;0;79;1;1;0;1;0;1;;;Selfpowered;;;6Ah;0;Sunner;Zigbee;;;;;;Sin comenzar;;;;;;38.945831;16.898029;;23
26411;Tuva;;;India;Cosmos;;Factiun;;3.5;Waaree;;625;5600;28;6;;;;;40;40;0;1;1;0;1;0;1;0;;String;;;4,5Ah;0;KaiRi;Zigbee;;;;;;Sin comenzar;;;;;;22.593027;71.601735;;22
